t,p_x,p_y,p_z
7.44,6.685122454479238,-1.0954131784369505,4.717489470722574
7.48,6.725742400532332,-1.110626471464194,4.725995408373167
7.5200000000000005,6.767731635667091,-1.1205260753889477,4.733479555170898
7.5600000000000005,6.810967268805822,-1.125239706283395,4.739988464839795
7.6000000000000005,6.855323364077891,-1.1249540690631301,4.7455880085283795
7.640000000000001,6.900657674631729,-1.119951400068968,4.75037207134631
7.68,6.9468336613574415,-1.1105453239738592,4.754439653227997
7.72,6.993707774440138,-1.0971090242596233,4.757900554340862
7.76,7.041138308726425,-1.0800319148973796,4.76086100144253
7.8,7.0889806739134205,-1.0597344012862049,4.763421248694035
7.84,7.137103691876942,-1.036628921243362,4.765669700426814
7.88,7.185390971744815,-1.0111286194172633,4.7676862076617175
7.92,7.233742693885442,-0.9836228708390964,4.769534043896117
7.96,7.282070926042352,-0.954477966582004,4.7712628133500035
8.0,7.330298150955637,-0.9240256882895385,4.772913040249258
8.040000000000001,7.378353748148524,-0.8925699306562659,4.774518159038135
8.08,7.426184162355462,-0.8603772360490818,4.776102214958365
8.120000000000001,7.473748890313567,-0.8276741263335529,4.777683602203384
8.16,7.521022848650577,-0.7946401086076917,4.779277805767583
8.2,7.56799331989908,-0.761416396739516,4.780895924176835
8.24,7.614653716950456,-0.7281102818378007,4.782512504749016
8.28,7.660991142724068,-0.6945259428156225,4.784111316353671
8.32,7.706974015364237,-0.6601038783648598,4.785674843219526
8.36,7.752594852468611,-0.6244389795597988,4.787185122319723
8.4,7.797853884283236,-0.5871576155146105,4.788613548444647
8.44,7.842760651723125,-0.5480024720947855,4.789938830722518
8.48,7.887339488379218,-0.5067583059041517,4.791139224170426
8.52,7.93162832772939,-0.46330884088897856,4.792204847730613
8.56,7.975668661072117,-0.4175770161132124,4.793131299603492
8.6,8.019501671089902,-0.36955430073674145,4.793925418481129
8.64,8.06316362438049,-0.31925063664219777,4.794594819641807
8.68,8.10668707684999,-0.2667131534819023,4.795152594147797
8.72,8.150098058905282,-0.21200583422018324,4.7956152366616545
8.76,8.19340859231833,-0.15522768425365033,4.796004589780004
8.8,8.236623201243388,-0.09649262661724554,4.796344572672233
8.84,8.279738359090693,-0.035937947063358865,4.79666078789417
8.88,8.322747259057113,0.026289129147078205,4.796976712698603
8.92,8.365640129944381,0.09003807796670532,4.7973582515141
8.96,8.40847889022439,0.1547589530848272,4.797882049578264
9.0,8.451419598072993,0.2194091154509574,4.798590342032636
9.040000000000001,8.494560575425655,0.2832013845478706,4.7994850414090795
9.08,8.537985543602316,0.3454281579035901,4.80052311281013
9.120000000000001,8.581741661801766,0.4055926143511236,4.801660360919294
9.16,8.625848449823666,0.46328146904960493,4.802843342087513
9.200000000000001,8.670375778544603,0.5178734726700128,4.80396599789337
9.24,8.715485963818912,0.5683770752403076,4.804796123034843
9.28,8.761270868084775,0.6141688740429608,4.805165820075019
9.32,8.807797420218366,0.6547691217931466,4.8049122340772215
9.36,8.855076551073218,0.6899542441919366,4.803956426936705
9.4,8.903097084076249,0.7195997573242018,4.802249508984087
9.44,8.951817901050884,0.7437652823476999,4.799811345988709
9.48,9.001189813929724,0.7625758854615594,4.796686979349763
9.52,9.051135069737693,0.7762871178939299,4.792964107497864
9.56,9.1015882965255,0.7852078954310404,4.788744005287991
9.6,9.152469731659629,0.7897309401700472,4.784145139172231
9.64,9.203700424276454,0.7902634336935591,4.779281924312306
9.68,9.255188010265437,0.7872582053249345,4.774266548495774
9.72,9.306848697519507,0.7811682650622187,4.769199042880625
9.76,9.3585923991146,0.7724604956052595,4.764165720396086
9.8,9.4103367275956,0.7615704112130286,4.759236614004928
9.84,9.46200429174335,0.7489186257122397,4.754468963724823
9.88,9.513530299364554,0.7348965933072357,4.749906582810517
9.92,9.564861215254595,0.7198604130273889,4.745582647827389
